DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR
2021-04-01,21,8,8,8,17,20,0,81,10,1022,0,23,11,8,113,113,113,0,5,11.6
2021-04-02,17,9,21,9,16,15,0,93,10,1020,12,17,10,7,113,116,116,0,4,11.6
2021-04-03,11,3,32,3,9,9,0,80,10,1023,3.5,11,1,-2,113,116,113,0,3,11.6
2021-04-04,13,2,19,2,11,10,0,65,10,1023,3.875,13,3,-1,116,113,113,0,3,11.6
2021-04-05,13,4,26,4,12,11,1,86,9.375,1019,57.875,13,4,2,113,122,116,0,3,7.8
2021-04-06,5,-3,18,-3,4,3,0.9,85,8.5,1020,74,5,0,-7,116,368,122,0.5,1,6.5
2021-04-07,7,-3,14,-3,5,4,0.1,74,9.75,1029,22.875,7,0,-7,116,116,116,0.1,1,11.6
2021-04-08,11,-1,10,-1,9,8,0,72,10,1028,7.75,11,2,-2,116,116,116,0,3,11.6
2021-04-09,15,3,24,3,13,13,0.3,83,9.875,1022,41.5,15,8,-1,116,116,176,0,4,10.3
2021-04-10,13,7,27,7,13,10,1.8,80,8.75,1016,82.25,13,9,3,116,119,296,0,3,6.6
2021-04-11,13,8,21,8,13,9,22.8,91,8.625,1016,76.75,13,10,6,116,122,302,0,3,6.8
2021-04-12,8,2,23,2,7,5,5.8,92,8.125,1030,69.75,8,2,-3,371,176,116,1.5,1,9.2
2021-04-13,9,0,21,0,8,6,0.1,85,10,1030,29.25,9,0,-3,116,116,116,0,3,11.6
2021-04-14,10,-1,20,-1,9,7,0,70,10,1030,20.125,10,0,-5,116,116,116,0,3,11.6
2021-04-15,10,-1,17,-1,9,7,0,80,10,1027,20.75,10,0,-4,116,116,116,0,3,11.6
2021-04-16,10,0,24,-0,8,7,0,72,10,1023,11,10,0,-5,116,113,116,0,3,11.6
2021-04-17,9,0,22,0,8,8,0.2,93,10,1023,58,9,3,-4,116,119,176,0,3,6.9
2021-04-18,11,4,14,4,10,9,1.4,82,10,1022,70.125,11,5,2,119,116,353,0,3,6.9
2021-04-19,12,3,12,3,12,10,3.8,91,9.75,1021,57.625,12,6,1,116,119,353,0,3,8.1
2021-04-20,14,4,11,4,13,12,2.6,93,8.75,1018,49,14,8,2,143,116,176,0,4,9.3
2021-04-21,16,6,9,6,14,13,1,91,9.75,1017,31.75,16,8,5,116,116,176,0,4,10.4
2021-04-22,14,6,19,6,12,12,0.1,93,9,1021,47.375,14,8,6,143,116,119,0,4,9.3
2021-04-23,15,3,24,3,13,14,0,73,10,1025,0,16,5,-1,113,113,113,0,4,11.6
2021-04-24,18,4,8,4,16,15,0,84,10,1024,1.5,18,9,2,113,113,116,0,4,11.6
2021-04-25,18,7,17,7,16,16,0,82,10,1020,10.375,18,11,4,116,116,116,0,4,11.6
2021-04-26,16,7,25,7,14,14,0,70,10,1017,19.625,16,9,4,116,116,116,0,4,11.6
2021-04-27,15,7,13,7,14,13,5.2,78,9.625,1008,51.125,15,11,6,116,119,353,0,4,8.2
2021-04-28,17,9,6,9,16,16,1,85,10,1006,43.875,18,10,8,119,116,116,0,4,11.6
2021-04-29,15,8,7,8,14,13,0.7,90,9.375,1011,59.5,15,8,8,116,116,176,0,3,8.2
2021-04-30,9,6,12,6,8,7,18.1,95,8,1014,88.5,9,7,4,176,302,122,0,2,7.1
